"CodProd","CodMat","DesProd","CantMat"
EMP111509501001D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP114007900651D92,PLA220021450007D92,PLACA 2200*2145 D92,1.000
EMP114007900651D92,PLA220021450007D92,PLACA 2200*2145 D92,1.000
EMP11407900650C30,PLA280024500004C30,PLACA 2800*2450 C30,0.680
EMP11407900650C30,PLA280024500004C30,PLACA 2800*2450 C30,0.680
EMP115008000650D92,PLA220021450007D92,PLACA 2200*2145 D92,0.670
EMP115008000650D92,PLA220021450007D92,PLACA 2200*2145 D92,0.670
EMP115008000850D94,PLA220021450007D94,PLACA 2200*2145 D94,2.000
EMP115008000850D94,PLA220021450007D94,PLACA 2200*2145 D94,2.000
EMP115009500820C30,PLA280024500004C30,PLACA 2800*2450 C30,1.000
EMP115009500820C30,PLA280024500004C30,PLACA 2800*2450 C30,1.000
EMP115009500821D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP115009500821D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP115009600640D92,PLA251521450007D92,PLACA 2515*2145 D92,1.340
EMP115509451030D98,PLA233011650007D98,PLACA 2330*2145 D98,0.000
EMP115509550950D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP115509550950D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP116009600900D92,PLA280021450004C20,PLACA 2800*2145 C20,1.000
EMP116009600900D92,PLA280021450004C20,PLACA 2800*2145 C20,1.000
EMP116009600993D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP116009600993D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP116009601001D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP116009601001D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP116509651020D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP116509651020D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP117009700350D94,PLA229007000007D94,PLACA 2290*700 D94,1.000
EMP117009700350D94,PLA229007000007D94,PLACA 2290*700 D94,1.000
EMP118000100050D92,PLA251521450007D92,PLACA 2515*2145 D92,0.130
EMP118509850830C20,PLA280024500004C30,PLACA 2800*2450 C30,1.000
EMP118509850830C20,PLA280024500004C30,PLACA 2800*2450 C30,1.000
EMP119009900500C30,PLA280024500004C30,PLACA 2800*2450 C30,0.500
EMP119009900500C30,PLA280024500004C30,PLACA 2800*2450 C30,0.500
EMP119009900900C30,PLA280024500004C30,PLACA 2800*2450 C30,1.000
EMP119009900900C30,PLA280024500004C30,PLACA 2800*2450 C30,1.000
EMP119009901030D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
EMP119009901030D92,PLA251521450007D92,PLACA 2515*2145 D92,1.000
REL0950002038.509B,PLA09500780000309B,PLACA 950*780 09B,1.120
CAJ00550055024510E,PLA09500780000210E,PLACA 950*780 10E,0.170
CAJ00600060022010E,PLA11000780000210E,PLACA 1100*780 10E,0.170
CAJ00650065029010E,PLA11000780000210E,PLACA 1100*780 10E,0.340
CAJ00650065029510E,PLA11000780000210E,PLACA 1100*780 10E,0.340
CAJ00850085034010E,PLA09500780000210E,PLACA 950*780 10E,0.500
CAJ01250067005709B,PLA12001000000209B,PLACA 1200*1000 09B,0.070
CAJ01300050052010E,PLA270015700004C20,PLACA 2700*1570 C20,0.500
CAJ013000550940C20,PLA210021450004C20,PLACA 2100*2145 C20,0.130
CAJ013001300290C20,PLA250017300004C20,PLACA 2500*1730 C20,0.090
CAJ01300550640C20,PLA210021450004C20,PLACA 2100*2145 C20,0.130
CAJ016001600160C30,PLA160017200004C30,PLACA 1600*1720 C30,0.100
CAJ01900140009010C,PLA28001570000412C,PLACA 2800*1570 12C,0.170
CAJ01900175280012C,PLA28001570000412C,PLACA 2800*1570 12C,0.500
CAJ01950170006510C,PLA28001570000412C,PLACA 2800*1570 12C,0.050
CAJ020001500100C20,PLA250024500004C20,PLACA 2500*2450 C20,0.040
CAJ020001800335D92,PLA280021450007D92,PLACA 2800*2145 D92,0.090
CAJ02000180290012C,PLA25001570000412C,PLACA 2500*1570 12C,0.670
CAJ020002000200C20,PLA270015700004C20,PLACA 2700*1690 C20,0.170
CAJ020002000300C20,PLA280021450004C20,PLACA 2800*2145 C20,0.090
CAJ022002000140D92,PLA220021450007D92,PLACA 2200*2145 D92,0.090
CAJ022002200075C20,PLA210021450004C20,PLACA 2100*2145 C20,0.090
CAJ022501950110C20,PLA21001730004C20,PLACA 2100*1730 C20,0.100
CAJ022501950220C20,PLA21001730004C20,PLACA 2100*1730 C20,0.130
CAJ023002300200D92,PLA220021450007D92,PLACA 2200*2145 D92,0.130
CAJ023002300235D92,PLA220021450007D92,PLACA 2200*2145 D92,0.130
CAJ023002300250D92,PLA220021450007D92,PLACA 2200*2145 D92,0.130
CAJ023901600300C20,PLA280021450004C20,PLACA 2800*2145 C20,0.090
CAJ024002050110C20,PLA21001730004C20,PLACA 2100*1730 C20,0.100
CAJ026002000231C30,PLA280024500004C30,PLACA 2800*2450 C30,0.080
CAJ026002200135C20,PLA210021450004C20,PLACA 2100*2145 C20,0.100
CAJ02900190010510C,PLA28001570000412C,PLACA 2800*1570 12C,0.110
CAJ029002900145C20,PLA250024500004C20,PLACA 2500*2450 C20,0.170
CAJ030002550135D92,PLA251521450007D92,PLACA 2515*2145 D92,0.100
CAJ03000260026010E,PLA12000780000210E,PLACA 1200*780 10E,1.000
CAJ030501250150C20,PLA280021450004C20,PLACA 2800*2145 C20,0.050
CAJ032003200420D92,PLA251521450007D92,PLACA 2515*2145 D92,0.340
CAJ032003200455D92,PLA280021450007D92,PLACA 2800*2145 D92,0.250
CAJ032303230141C20,PLA280021450004C20,PLACA 2800*2145 C20,0.130
CAJ03300115057012C,PLA25001570000412C,PLACA 2500*1570 12C,0.250
CAJ033002450140C20,PLA250024500004C20,PLACA 2500*2450 C20,0.130
CAJ034002000140C20,PLA250024500004C20,PLACA 2500*2450 C20,0.090
CAJ03500285013709B,PLA09500780000309B,PLACA 950*765 09B,2.000
CAJ035003500150C20,PLA210021450004C20,PLACA 2100*2145 C20,0.170
CAJ035003500400C20,PLA250024500004C20,PLACA 2500*2450 C20,0.170
CAJ035003500450C20,PLA250024500004C20,PLACA 2500*2450 C20,0.340
CAJ035502550295C20,PLA280017300004C20,PLACA 2800*1730 C20,0.170
CAJ036002200125C20,PLA250024500004C20,PLACA 2500*2450 C20,0.080
CAJ036002800260C30,PLA280024500004C30,PLACA 2800*2450 C30,0.130
CAJ036502601640C30,PLA280024500004C30,PLACA 2800*2450 C30,0.500
CAJ037003701000C20,PLA270015700004C20,PLACA 2700*1690 C20,0.500
CAJ037003701150C20,PLA270015700004C20,PLACA 2700*1690 C20,0.500
CAJ037502500255D92,PLA280021450007D92,PLACA 2800*2145 D92,0.130
CAJ037503550825D92,PLA251521450007D92,PLACA 2515*2145 D92,0.670
CAJ03800270006010C,PLA28001570000412C,PLACA 2800*1570 12C,0.100
CAJ038302550238C20,PLA280021450004C20,PLACA 2800*2145 C20,0.130
CAJ038502500180D92,PLA280021450007D92,PLACA 2800*2145 D92,0.130
CAJ03900270024012C,PLA28001570000412C,PLACA 2800*1570 12C,0.170
REL09500037002510E,PLA09500780000210E,PLACA 950*780 10E,1.370
REL09500040003510E,PLA09500700000210E,PLACA 950*700 10E,2.230
REL0950004003510E,PLA09500780000309B,PLACA 950*780 09B,2.000
REL09500210027709B,PLA09500780000309B,PLACA 950*780 09B,0.840
REL11000002706509B,PLA11000780000309B,PLACA 1100*780 09B,2.500
REL1100001539.509B,PLA11000780000309B,PLACA 1100*780 09B,0.830
REL11000018037509B,PLA11000780000309B,PLACA 1100*780 09B,1.100
REL1100001834.509B,PLA11000780000309B,PLACA 1100*780 09B,0.900
REL1100001839.509B,PLA11000780000309B,PLACA 1100*780 09B,1.000
REL1100001932.509B,PLA11000780000309B,PLACA 1100*780 09B,0.870
REL11000020003809B,PLA11000780000309B,PLACA 1100*780 09B,1.100
REL1100002035.509B,PLA11000780000309B,PLACA 1100*780 09B,1.010
REL1100002036.509B,PLA11000780000309B,PLACA 1100*780 09B,0.060
REL1100002038.509B,PLA11000780000309B,PLACA 1100*780 09B,1.100
REL11000021003709B,PLA11000780000309B,PLACA 1100*765 09B,1.200
REL1100002126.409B,PLA11000780000309B,PLACA 1100*780 09B,1.060
